,Date,Time,Town / Village,Occupation of reporter (where known),County,Brief Description of sighting
22,25-Nov-01,06:20,Inverness,,High Lands,"One large torpedo shaped object with red and white lights. There were bright lights at the front, and also amber flashing lights."
23,25-Nov-01,06:30,Nairnside,,High Lands,One roundish shaped object that was glowing white and red.
24,26-Nov-01,11:20,Briton Ferry,,West Glamorgan,"One silver object, long cylinder hanging from a parachute or balloon, drifting SE. It was very big and very high."
25,30-Nov-01,15:40,Glasgow,,S' clyde,"Strange lights in the sky, moving very erratically - quick dart like movements - moves then stops before moving off again."
26,02-Dec-01,18:15,Torquay,,Devon,One object the size of a small room. Was spinning on it's own axis.
27,09-Dec-01,17:00,Leven,,Fife,An assortment of flashing lights.
28,10-Dec-01,23:00,Blairgowrie,,Perthshire,Triangular shaped object that was multi coloured and had lights on the sides and points of the shape.
29,10-Dec-01,18:15,Torfaen,,Gwent,"Three lights together, that looked like an elongated triangle. The lights were very bright."
30,18-Dec-01,,Stockport,,Greater Manchester,Two grey plumes of smoke in the sky over Stockport Railway Station. A grey triangle was then witnessed.
31,18-Dec-01,20:00,Stockport,,Greater Manchester,"Red light moving fast, high up in the sky. It slowed down, got fast again and then wobbled from side to side."
32,18-Dec-01,20:50,Crawley,,Sussex,"The object looked like a rounded triangle, longer at one point, with a giant light in the centre."
33,25-Dec-01,,,,,Unusual aerial phenomenon.
34,30-Dec-01,02:30,Baltonsborough,,Somerset,"Two round, thirty foot objects. Each had one white light on the left, and one red light on the right. Was a low rumbling sound."
35,31-Dec-01,09:00,Leeds,,West Yorkshire,"Looked like a bright orange tear drop shaped object, that appeared to have lightning coming from its sides."
36,31-Dec-01,,Tipton,,West Midlands,A bright light that was covered in black spots.
37,31-Dec-01,20:30,Bingham,,Notts,"One opal shaped object with lights, that were orange, red, blue and white. Was very bright."
38,31-Dec-01,,Enniskillen,,Northern Ireland,Object was travelling from East to West.
39,31-Dec-01,21:00,Malvern,,Worcestershire,"One object, the shape of a star. Triangular red lights. There were also yellow and blue rays. Was hovering. Pulsated and then vanished."
40,31-Dec-01,,Castle Donington,,Leicestershire,"A bright, green light was moving at very high speed. The object appeared to land near Kegworth over the M1"
41,31-Dec-01,18:45,"Crewe, Leighton",,Cheshire,"Silver ball, really bright. Was lower than an aircraft and moving in a straight line. (Message taken 17 Feb 2001)."
